5;0,01458;0,01401;0,01301;0,01456;0,01288;0,01436;0,01302
10;0,01121;0,01122;0,01128;0,01126;0,01125;0,01134;0,01128
15;0,01126;0,01129;0,01131;0,01132;0,01132;0,01134;0,01136
20;0,01137;0,01138;0,0114;0,01146;0,01145;0,01145;0,01145
25;0,01144;0,01146;0,01152;0,01157;0,01154;0,01155;0,01154
